,id,group_name,Тест 2,Тест 1,Тест 3,Тест 4,Тест 5,Тест 6
136,96,Группа №47(1),90.0,79.16675,100.0,85.71429,90.0,
137,96,Группа №47_1(1),90.0,79.16675,100.0,85.71429,90.0,
138,97,Группа №47_1(1),95.0,100.0,80.0,78.57143,94.0,
139,97,Группа №47(1),95.0,100.0,80.0,78.57143,94.0,
140,98,Группа №47(1),85.0,79.16675,100.0,52.85714,86.0,
141,98,Группа №47_1(1),85.0,79.16675,100.0,52.85714,86.0,
142,99,Группа №47_1(1),80.0,100.0,100.0,85.71429,83.0,
143,99,Группа №47(1),80.0,100.0,100.0,85.71429,83.0,
144,100,Группа №47(1),100.0,100.0,100.0,92.85714,78.0,
145,100,Группа №47_1(1),100.0,100.0,100.0,92.85714,78.0,
146,101,Группа №47_1(1),90.0,100.0,93.3334,100.0,77.0,
147,101,Группа №47(1),90.0,100.0,93.3334,100.0,77.0,
148,102,Группа №47(1),100.0,75.0,,85.71429,87.0,
149,102,Группа №47_1(1),100.0,75.0,,85.71429,87.0,
150,103,Группа №47(1),93.3333,100.0,93.3334,100.0,79.0,
151,103,Группа №47_1(1),93.3333,100.0,93.3334,100.0,79.0,
152,104,Группа №47_1(1),100.0,91.66675,100.0,85.71429,89.0,
153,104,Группа №47(1),100.0,91.66675,100.0,85.71429,89.0,
154,105,Группа №47(1),100.0,100.0,100.0,100.0,88.0,
155,105,Группа №47_1(1),100.0,100.0,100.0,100.0,88.0,
156,106,Группа №47_2(1),70.0,100.0,100.0,85.71429,89.0,
157,106,Группа №47(1),70.0,100.0,100.0,85.71429,89.0,
158,107,Группа №47_2(1),90.0,79.16675,100.0,85.71429,90.0,
159,107,Группа №47(1),90.0,79.16675,100.0,85.71429,90.0,
160,108,Группа №47_2(1),100.0,100.0,100.0,85.71429,100.0,
161,108,Группа №47(1),100.0,100.0,100.0,85.71429,100.0,
162,110,Группа №47_2(1),100.0,79.16675,100.0,71.42857,89.0,
163,110,Группа №47(1),100.0,79.16675,100.0,71.42857,89.0,
164,111,Группа №47_2(1),100.0,100.0,100.0,98.57143,90.0,
165,111,Группа №47(1),100.0,100.0,100.0,98.57143,90.0,
166,112,Группа №47_2(1),90.0,75.0,,80.0,75.0,
167,112,Группа №47(1),90.0,75.0,,80.0,75.0,
168,113,Группа №47_2(1),89.0,100.0,73.3334,84.28571,95.0,
169,113,Группа №47(1),89.0,100.0,73.3334,84.28571,95.0,
170,114,Группа №47_2(1),90.0,70.0,100.0,97.14286,86.0,
171,114,Группа №47(1),90.0,70.0,100.0,97.14286,86.0,
172,115,Группа №47_2(1),95.0,79.16675,100.0,70.0,80.0,97.7778
173,115,Группа №47(1),95.0,79.16675,100.0,70.0,80.0,97.7778
174,116,Группа №47_2(1),100.0,100.0,100.0,100.0,88.0,
175,116,Группа №47(1),100.0,100.0,100.0,100.0,88.0,
176,117,Группа №42(1),91.0,100.0,,84.28571,,
177,128,Группа №46_2(1),,,,84.28571,89.0,
178,128,Группа №46(1),,,,84.28571,89.0,
179,129,Группа №41(1),,,,85.71429,77.0,
180,129,Группа №41_№1,,,,85.71429,77.0,
